pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,inks_5_color,inks_5_amountUsed,inks_5_inkSerialNumber
47200165,IMP_2355803_PS.pdf,Chicago,36,177,36,2024-03-18T16:36:29.000+00:00,2024-03-18T16:37:45.000+00:00,2024-03-18T16:36:29.000,2024-03-18T16:37:45.000,0,331,No,47200165_1772568_1710779736000_1710779736000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371919,0,A3,False,0,0,1,176,IMPRESSIONS,76,PRINTED,None,36,SHEETS,RLM-724912- 100# velvet cover 13x19,36.0,None,None,None,None,None,None,35.0,ef052y842007py,P425CR,35.0,None,Black,36.0,EF073Y6833A6U1,Magenta,36.0,ef033y6077ac04,Cyan,35.0,ef013y9722c5r5
47200165,IMP_2355802_PS.pdf,Chicago,36,177,36,2024-03-18T16:38:27.000+00:00,2024-03-18T16:39:23.000+00:00,2024-03-18T16:38:27.000,2024-03-18T16:39:23.000,0,331,No,47200165_1772611_1710779963000_1710779963000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371920,0,A3,False,0,0,1,176,IMPRESSIONS,56,PRINTED,None,36,SHEETS,RLM-724912- 100# velvet cover 13x19,36.0,None,None,None,None,None,None,35.0,ef052y842007py,P425CR,35.0,None,Black,36.0,EF073Y6833A6U1,Magenta,36.0,ef033y6077ac04,Cyan,35.0,ef013y9722c5r5
47200165,IMP_2355359_PS.pdf,Chicago,46,227,46,2024-03-18T16:41:27.000+00:00,2024-03-18T16:42:36.000+00:00,2024-03-18T16:41:27.000,2024-03-18T16:42:36.000,0,331,No,47200165_1772657_1710780156000_1710780156000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371921,0,A3,False,0,0,1,226,IMPRESSIONS,69,PRINTED,None,46,SHEETS,RLM-724912- 100# velvet cover 13x19,46.0,None,None,None,None,None,None,45.0,ef052y842007py,P425CR,45.0,None,Black,46.0,EF073Y6833A6U1,Magenta,46.0,ef033y6077ac04,Cyan,45.0,ef013y9722c5r5
47200165,IMP_2353650.pdf,Chicago,2,16,2,2024-03-18T16:52:08.000+00:00,2024-03-18T16:52:33.000+00:00,2024-03-18T16:52:08.000,2024-03-18T16:52:33.000,0,331,No,47200165_1772686_1710780753000_1710780753000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371922,0,A3,True,0,0,0,16,IMPRESSIONS,25,PRINTED,None,2,SHEETS,PSP-130016592-14pt C2S Gloss Cover,2.0,None,None,None,None,None,None,4.0,ef052y842007py,Cyan,4.0,ef013y9722c5r5,Magenta,4.0,ef033y6077ac04,Black,4.0,EF073Y6833A6U1,,,
47200165,IMP_2353465.pdf,Chicago,14,106,14,2024-03-18T16:55:53.000+00:00,2024-03-18T16:56:37.000+00:00,2024-03-18T16:55:53.000,2024-03-18T16:56:37.000,0,331,No,47200165_1772736_1710780997000_1710780997000,482.6,62773841-83fc-4251-aa11-864a43545e15,221375334,0,A3,True,0,0,1,105,IMPRESSIONS,44,PRINTED,None,14,SHEETS,PSP-130016592-14pt C2S Gloss Cover,14.0,None,None,None,None,None,None,26.0,ef052y842007py,Cyan,26.0,ef013y9722c5r5,Magenta,27.0,ef033y6077ac04,Black,27.0,EF073Y6833A6U1,,,
47200165,IMP_2353462.pdf,Chicago,14,106,14,2024-03-18T16:54:14.000+00:00,2024-03-18T16:54:54.000+00:00,2024-03-18T16:54:14.000,2024-03-18T16:54:54.000,0,331,No,47200165_1772703_1710780894000_1710780894000,482.6,62773841-83fc-4251-aa11-864a43545e15,221375335,0,A3,True,0,0,1,105,IMPRESSIONS,40,PRINTED,None,14,SHEETS,PSP-130016592-14pt C2S Gloss Cover,14.0,None,None,None,None,None,None,26.0,ef052y842007py,Cyan,26.0,ef013y9722c5r5,Magenta,27.0,ef033y6077ac04,Black,27.0,EF073Y6833A6U1,,,
47200165,IMP_2353466.pdf,Chicago,3,24,3,2024-03-18T16:56:31.000+00:00,2024-03-18T16:56:45.000+00:00,2024-03-18T16:56:31.000,2024-03-18T16:56:45.000,0,331,No,47200165_1772747_1710781005000_1710781005000,482.6,62773841-83fc-4251-aa11-864a43545e15,221375336,0,A3,True,0,0,0,24,IMPRESSIONS,14,ABORTED,None,3,SHEETS,PSP-130016592-14pt C2S Gloss Cover,3.0,None,None,None,None,None,None,6.0,ef052y842007py,Cyan,6.0,ef013y9722c5r5,Magenta,6.0,ef033y6077ac04,Black,6.0,EF073Y6833A6U1,,,
47200165,IMP_2353463.pdf,Chicago,14,106,14,2024-03-18T16:54:47.000+00:00,2024-03-18T16:55:26.000+00:00,2024-03-18T16:54:47.000,2024-03-18T16:55:26.000,0,331,No,47200165_1772711_1710780926000_1710780926000,482.6,62773841-83fc-4251-aa11-864a43545e15,221375337,0,A3,True,0,0,1,105,IMPRESSIONS,39,PRINTED,None,14,SHEETS,PSP-130016592-14pt C2S Gloss Cover,14.0,None,None,None,None,None,None,26.0,ef052y842007py,Cyan,26.0,ef013y9722c5r5,Magenta,27.0,ef033y6077ac04,Black,27.0,EF073Y6833A6U1,,,
47200165,IMP_2353464.pdf,Chicago,14,106,14,2024-03-18T16:55:20.000+00:00,2024-03-18T16:55:59.000+00:00,2024-03-18T16:55:20.000,2024-03-18T16:55:59.000,0,331,No,47200165_1772723_1710780959000_1710780959000,482.6,62773841-83fc-4251-aa11-864a43545e15,221375338,0,A3,True,0,0,1,105,IMPRESSIONS,39,PRINTED,None,14,SHEETS,PSP-130016592-14pt C2S Gloss Cover,14.0,None,None,None,None,None,None,26.0,ef052y842007py,Cyan,26.0,ef013y9722c5r5,Magenta,27.0,ef033y6077ac04,Black,27.0,EF073Y6833A6U1,,,
47200165,IMP_2353650.pdf,Chicago,14,106,14,2024-03-18T16:53:16.000+00:00,2024-03-18T16:54:21.000+00:00,2024-03-18T16:53:16.000,2024-03-18T16:54:21.000,0,331,No,47200165_1772686_1710780753000_1710780753000,482.6,62773841-83fc-4251-aa11-864a43545e15,221375339,0,A3,True,0,0,1,105,IMPRESSIONS,65,PRINTED,None,14,SHEETS,PSP-130016592-14pt C2S Gloss Cover,14.0,None,None,None,None,None,None,26.0,ef052y842007py,Cyan,26.0,ef013y9722c5r5,Magenta,27.0,ef033y6077ac04,Black,27.0,EF073Y6833A6U1,,,
