pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed
60001071,11790671_130017262_2_JDF,Chicago,234,1882,234,2024-03-16T07:55:20.000+00:00,2024-03-16T08:02:41.000+00:00,2024-03-16T07:55:20.000,2024-03-16T08:02:41.000,0,750,No,60001071_10768837_1710576161000_1710576161000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220205607,0,B2,True,0,0,0,1882,IMPRESSIONS,441,ABORTED,,234,SHEETS,130017262      14pt C1S Gloss Cover **Flipped*,234.0,Yellow,471.0,EG00Y2Y417634.754LHK,Cyan,470.0,EGC3Y250634.750014,Magenta,471.0,EG00M2Y401434.75WIES,Black,470.0,EGK3Y729834.750179,,,,,,
60001071,11790671_130017262_2_JDF,Chicago,143,1144,143,2024-03-16T08:03:28.000+00:00,2024-03-16T08:07:49.000+00:00,2024-03-16T08:03:28.000,2024-03-16T08:07:49.000,0,750,No,60001071_10768837_1710576161000_1710576161000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220205612,0,B2,True,0,0,0,1144,IMPRESSIONS,261,PRINTED,,143,SHEETS,130017262      14pt C1S Gloss Cover **Flipped*,143.0,Yellow,286.0,EG00Y2Y417634.754LHK,Cyan,286.0,EGC3Y250634.750014,Magenta,286.0,EG00M2Y401434.75WIES,Black,286.0,EGK3Y729834.750179,,,,,,
60001071,11790601_130017262_2_JDF,Chicago,171,684,171,2024-03-16T08:09:32.000+00:00,2024-03-16T08:12:10.000+00:00,2024-03-16T08:09:32.000,2024-03-16T08:12:10.000,0,750,No,60001071_10769315_1710576730000_1710576730000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220205616,0,B2,False,0,0,0,684,IMPRESSIONS,158,PRINTED,,171,SHEETS,130017262     14pt C1S Gloss Cover,171.0,Yellow,171.0,EG00Y2Y417634.754LHK,Cyan,171.0,EGC3Y250634.750014,Magenta,171.0,EG00M2Y401434.75WIES,Black,171.0,EGK3Y729834.750179,,,,,,
47200165,11790625_chp.pdf,Chicago,0,16,2,2024-03-16T08:04:16.000+00:00,2024-03-16T08:04:28.000+00:00,2024-03-16T08:04:16.000,2024-03-16T08:04:28.000,0,331,No,47200165_1762172_1710523816000_1710523816000,482.6,62773841-83fc-4251-aa11-864a43545e15,220206704,0,A3,True,0,0,0,16,IMPRESSIONS,12,PRINTED,,2,SHEETS,PSP-130015163 - 13pt Matte Cover Recycled,2.0,Yellow,4.0,EF053Y0123TTHC,Cyan,4.0,EF013Y9804J07I,Magenta,4.0,EF033Y6099DUO3,Black,4.0,EF073Y6833A6U1,,,,,,
47200165,1427108_1_of_5_WHITE.pdf,Chicago,10,74,10,2024-03-16T07:56:13.000+00:00,2024-03-16T07:57:02.000+00:00,2024-03-16T07:56:13.000,2024-03-16T07:57:02.000,0,331,No,47200165_1764707_1710575822000_1710575822000,482.6,62773841-83fc-4251-aa11-864a43545e15,220206705,0,A3,True,0,0,1,73,IMPRESSIONS,49,PRINTED,,10,SHEETS,FHR 110# Index Cover,10.0,Yellow,18.0,EF053Y0123TTHC,Cyan,18.0,EF013Y9804J07I,Magenta,19.0,EF033Y6099DUO3,Black,19.0,EF073Y6833A6U1,,,,,,
47200165,1427108_2_of_5_BLUE.pdf,Chicago,9,66,9,2024-03-16T07:57:55.000+00:00,2024-03-16T07:58:42.000+00:00,2024-03-16T07:57:55.000,2024-03-16T07:58:42.000,0,331,No,47200165_1764717_1710575922000_1710575922000,482.6,62773841-83fc-4251-aa11-864a43545e15,220206706,0,A3,True,0,0,1,65,IMPRESSIONS,47,PRINTED,,9,SHEETS,FHR 110# Index Cover,9.0,Yellow,16.0,EF053Y0123TTHC,Cyan,16.0,EF013Y9804J07I,Magenta,17.0,EF033Y6099DUO3,Black,17.0,EF073Y6833A6U1,,,,,,
47200165,5842547_8724055.pdf,Chicago,13,50,13,2024-03-16T08:00:18.000+00:00,2024-03-16T08:01:00.000+00:00,2024-03-16T08:00:18.000,2024-03-16T08:01:00.000,0,331,No,47200165_1764737_1710576060000_1710576060000,482.6,62773841-83fc-4251-aa11-864a43545e15,220206707,0,A3,False,0,0,1,49,IMPRESSIONS,42,PRINTED,,13,SHEETS,PSP-1307398-15pt Velvet,13.0,Yellow,12.0,EF053Y0123TTHC,Cyan,12.0,EF013Y9804J07I,Magenta,13.0,EF033Y6099DUO3,Black,13.0,EF073Y6833A6U1,,,,,,
47200165,5842174_8723487.pdf,Chicago,46,182,46,2024-03-16T08:02:02.000+00:00,2024-03-16T08:03:19.000+00:00,2024-03-16T08:02:02.000,2024-03-16T08:03:19.000,0,331,No,47200165_1764746_1710576199000_1710576199000,482.6,62773841-83fc-4251-aa11-864a43545e15,220206708,0,A3,False,0,0,1,181,IMPRESSIONS,77,PRINTED,,46,SHEETS,PSP-1307398-15pt Velvet,46.0,Yellow,45.0,EF053Y0123TTHC,Cyan,45.0,EF013Y9804J07I,Magenta,46.0,EF033Y6099DUO3,Black,46.0,EF073Y6833A6U1,,,,,,
47200165,5843504_8725551.pdf,Chicago,5,34,5,2024-03-16T07:59:02.000+00:00,2024-03-16T07:59:42.000+00:00,2024-03-16T07:59:02.000,2024-03-16T07:59:42.000,0,331,No,47200165_1764728_1710575982000_1710575982000,482.6,62773841-83fc-4251-aa11-864a43545e15,220206709,0,A3,True,0,0,1,33,IMPRESSIONS,40,PRINTED,,5,SHEETS,PSP-130015163 - 13pt Matte Cover Recycled,5.0,Yellow,8.0,EF053Y0123TTHC,Cyan,8.0,EF013Y9804J07I,Magenta,9.0,EF033Y6099DUO3,Black,9.0,EF073Y6833A6U1,,,,,,
47200165,11790625_chp.pdf,Chicago,2,178,23,2024-03-16T08:05:26.000+00:00,2024-03-16T08:06:41.000+00:00,2024-03-16T08:05:26.000,2024-03-16T08:06:41.000,0,331,No,47200165_1762172_1710523816000_1710523816000,483.0,62773841-83fc-4251-aa11-864a43545e15,220206710,0,A3,True,0,0,1,177,IMPRESSIONS,75,PRINTED,,23,SHEETS,1302259_1309871_J711912 MFP,23.0,Yellow,44.0,EF053Y0123TTHC,Cyan,44.0,EF013Y9804J07I,Magenta,45.0,EF033Y6099DUO3,Black,45.0,EF073Y6833A6U1,,,,,,
